Date,Close,Adj Close
2020-08-11,0.130634,0.130634
2020-08-12,0.138122,0.138122
2020-08-13,0.127606,0.127606
2020-08-14,0.201024,0.201024
2020-08-15,0.162744,0.162744
2020-08-16,0.196316,0.196316
2020-08-17,0.218131,0.218131
2020-08-18,0.250788,0.250788
2020-08-19,0.253025,0.253025
2020-08-20,0.268824,0.268824
2020-08-21,0.29112,0.29112
2020-08-22,0.287222,0.287222
2020-08-23,0.25967,0.25967
2020-08-24,0.256249,0.256249
2020-08-25,0.237235,0.237235
2020-08-26,0.226114,0.226114
2020-08-27,0.255959,0.255959
2020-08-28,0.27889,0.27889
2020-08-29,0.270433,0.270433
2020-08-30,0.285196,0.285196
2020-08-31,0.281814,0.281814
2020-09-01,0.288933,0.288933
2020-09-02,0.252189,0.252189
2020-09-03,0.247463,0.247463
2020-09-04,0.213458,0.213458
2020-09-05,0.215829,0.215829
2020-09-06,0.201781,0.201781
2020-09-07,0.188281,0.188281
2020-09-08,0.179111,0.179111
2020-09-09,0.195198,0.195198
2020-09-10,0.194706,0.194706
2020-09-11,0.187714,0.187714
2020-09-12,0.182892,0.182892
2020-09-13,0.143976,0.143976
2020-09-14,0.130773,0.130773
2020-09-15,0.141561,0.141561
2020-09-16,0.145338,0.145338
2020-09-17,0.164182,0.164182
2020-09-18,0.18149,0.18149
2020-09-19,0.181751,0.181751
2020-09-20,0.179018,0.179018
2020-09-21,0.145569,0.145569
2020-09-22,0.138025,0.138025
2020-09-23,0.141171,0.141171
2020-09-24,0.139567,0.139567
2020-09-25,0.133987,0.133987
2020-09-26,0.134377,0.134377
2020-09-27,0.129535,0.129535
2020-09-28,0.126744,0.126744
2020-09-29,0.126741,0.126741
2020-09-30,0.123904,0.123904
2020-10-01,0.116028,0.116028
2020-10-02,0.114721,0.114721
2020-10-03,0.116636,0.116636
2020-10-04,0.116295,0.116295
2020-10-05,0.120187,0.120187
2020-10-06,0.124864,0.124864
2020-10-07,0.116993,0.116993
2020-10-08,0.11924,0.11924
2020-10-09,0.120294,0.120294
2020-10-10,0.123378,0.123378
2020-10-11,0.121102,0.121102
2020-10-12,0.129947,0.129947
2020-10-13,0.124023,0.124023
2020-10-14,0.108435,0.108435
2020-10-15,0.109576,0.109576
2020-10-16,0.095044,0.095044
2020-10-17,0.107073,0.107073
2020-10-18,0.095222,0.095222
2020-10-19,0.100276,0.100276
2020-10-20,0.100151,0.100151
2020-10-21,0.114585,0.114585
2020-10-22,0.115198,0.115198
2020-10-23,0.108259,0.108259
2020-10-24,0.108077,0.108077
2020-10-25,0.10569,0.10569
2020-10-26,0.104818,0.104818
2020-10-27,0.107484,0.107484
2020-10-28,0.102729,0.102729
2020-10-29,0.105178,0.105178
2020-10-30,0.096754,0.096754
2020-10-31,0.097656,0.097656
2020-11-01,0.09411,0.09411
2020-11-02,0.092027,0.092027
2020-11-03,0.100985,0.100985
2020-11-04,0.11806,0.11806
2020-11-05,0.117199,0.117199
2020-11-06,0.114141,0.114141
2020-11-07,0.106572,0.106572
2020-11-08,0.115059,0.115059
2020-11-09,0.119643,0.119643
2020-11-10,0.118467,0.118467
2020-11-11,0.109233,0.109233
2020-11-12,0.119238,0.119238
2020-11-13,0.113289,0.113289
2020-11-14,0.100523,0.100523
2020-11-15,0.101419,0.101419
2020-11-16,0.104538,0.104538
2020-11-17,0.099101,0.099101
2020-11-18,0.093694,0.093694
2020-11-19,0.100268,0.100268
2020-11-20,0.103303,0.103303
2020-11-21,0.104274,0.104274
2020-11-22,0.104665,0.104665
2020-11-23,0.103505,0.103505
2020-11-24,0.10497,0.10497
2020-11-25,0.097782,0.097782
2020-11-26,0.0875,0.0875
2020-11-27,0.089985,0.089985
2020-11-28,0.094185,0.094185
2020-11-29,0.103967,0.103967
2020-11-30,0.108686,0.108686
2020-12-01,0.098272,0.098272
2020-12-02,0.100371,0.100371
2020-12-03,0.094032,0.094032
2020-12-04,0.090621,0.090621
2020-12-05,0.095163,0.095163
2020-12-06,0.096609,0.096609
2020-12-07,0.098266,0.098266
2020-12-08,0.093263,0.093263
2020-12-09,0.095987,0.095987
2020-12-10,0.094651,0.094651
2020-12-11,0.089265,0.089265
2020-12-12,0.097419,0.097419
2020-12-13,0.096305,0.096305
2020-12-14,0.095039,0.095039
2020-12-15,0.082003,0.082003
2020-12-16,0.094363,0.094363
2020-12-17,0.077785,0.077785
2020-12-18,0.077811,0.077811
2020-12-19,0.078399,0.078399
2020-12-20,0.074182,0.074182
2020-12-21,0.073038,0.073038
2020-12-22,0.077465,0.077465
2020-12-23,0.077232,0.077232
2020-12-24,0.080374,0.080374
2020-12-25,0.083477,0.083477
2020-12-26,0.082976,0.082976
2020-12-27,0.07788,0.07788
2020-12-28,0.0789,0.0789
2020-12-29,0.078351,0.078351
2020-12-30,0.08045,0.08045
2020-12-31,0.080388,0.080388
2021-01-01,0.08648,0.08648
2021-01-02,0.088491,0.088491
2021-01-03,0.091237,0.091237
2021-01-04,0.090279,0.090279
2021-01-05,0.093161,0.093161
2021-01-06,0.105718,0.105718
2021-01-07,0.108576,0.108576
2021-01-08,0.110633,0.110633
2021-01-09,0.110386,0.110386
2021-01-10,0.103909,0.103909
2021-01-11,0.098071,0.098071
2021-01-12,0.092976,0.092976
2021-01-13,0.099837,0.099837
2021-01-14,0.104939,0.104939
2021-01-15,0.098282,0.098282
2021-01-16,0.096572,0.096572
2021-01-17,0.095022,0.095022
2021-01-18,0.096062,0.096062
2021-01-19,0.095083,0.095083
2021-01-20,0.093763,0.093763
2021-01-21,0.081548,0.081548
2021-01-22,0.086517,0.086517
2021-01-23,0.07962,0.07962
2021-01-24,0.082755,0.082755
2021-01-25,0.074887,0.074887
2021-01-26,0.078232,0.078232
2021-01-27,0.07176,0.07176
2021-01-28,0.078206,0.078206
2021-01-29,0.077707,0.077707
2021-01-30,0.076903,0.076903
2021-01-31,0.090228,0.090228
2021-02-01,0.079041,0.079041
2021-02-02,0.104947,0.104947
2021-02-03,0.104551,0.104551
2021-02-04,0.122096,0.122096
2021-02-05,0.115789,0.115789
2021-02-06,0.113902,0.113902
2021-02-07,0.114736,0.114736
2021-02-08,0.11393,0.11393
2021-02-09,0.108649,0.108649
2021-02-10,0.105676,0.105676
2021-02-11,0.116057,0.116057
2021-02-12,0.115061,0.115061
2021-02-13,0.116943,0.116943
2021-02-14,0.119226,0.119226
2021-02-15,0.116782,0.116782
2021-02-16,0.118364,0.118364
2021-02-17,0.126119,0.126119
2021-02-18,0.123067,0.123067
2021-02-19,0.136008,0.136008
2021-02-20,0.217459,0.217459
2021-02-21,0.22673,0.22673
2021-02-22,0.200214,0.200214
2021-02-23,0.164628,0.164628
2021-02-24,0.168434,0.168434
2021-02-25,0.158886,0.158886
2021-02-26,0.134029,0.134029
2021-02-27,0.131143,0.131143
2021-02-28,0.120351,0.120351
2021-03-01,0.133087,0.133087
2021-03-02,0.128889,0.128889
2021-03-03,0.13656,0.13656
2021-03-04,0.128607,0.128607
2021-03-05,0.136047,0.136047
2021-03-06,0.135481,0.135481
2021-03-07,0.139957,0.139957
2021-03-08,0.14294,0.14294
2021-03-09,0.150827,0.150827
2021-03-10,0.15205,0.15205
2021-03-11,0.159515,0.159515
2021-03-12,0.159869,0.159869
2021-03-13,0.169601,0.169601
2021-03-14,0.1702,0.1702
2021-03-15,0.148672,0.148672
2021-03-16,0.181901,0.181901
2021-03-17,0.200018,0.200018
2021-03-18,0.171176,0.171176
2021-03-19,0.173469,0.173469
2021-03-20,0.177501,0.177501
2021-03-21,0.17171,0.17171
2021-03-22,0.168032,0.168032
2021-03-23,0.168437,0.168437
2021-03-24,0.157435,0.157435
2021-03-25,0.148944,0.148944
2021-03-26,0.163353,0.163353
2021-03-27,0.152317,0.152317
2021-03-28,0.164724,0.164724
2021-03-29,0.160543,0.160543
2021-03-30,0.158105,0.158105
2021-03-31,0.158547,0.158547
2021-04-01,0.15762,0.15762
2021-04-02,0.163441,0.163441
2021-04-03,0.166633,0.166633
2021-04-04,0.169801,0.169801
2021-04-05,0.160722,0.160722
2021-04-06,0.156377,0.156377
2021-04-07,0.161669,0.161669
2021-04-08,0.157839,0.157839
2021-04-09,0.155584,0.155584
2021-04-10,0.156249,0.156249
2021-04-11,0.156054,0.156054
2021-04-12,0.160179,0.160179
2021-04-13,0.172744,0.172744
2021-04-14,0.169928,0.169928
2021-04-15,0.207011,0.207011
2021-04-16,0.191467,0.191467
2021-04-17,0.191132,0.191132
2021-04-18,0.170492,0.170492
2021-04-19,0.172716,0.172716
2021-04-20,0.175215,0.175215
2021-04-21,0.168156,0.168156
2021-04-22,0.166508,0.166508
2021-04-23,0.187906,0.187906
2021-04-24,0.198503,0.198503
2021-04-25,0.191854,0.191854
2021-04-26,0.212697,0.212697
2021-04-27,0.254865,0.254865
2021-04-28,0.238628,0.238628
2021-04-29,0.254263,0.254263
2021-04-30,0.282275,0.282275
2021-05-01,0.287435,0.287435
2021-05-02,0.273407,0.273407
2021-05-03,0.246601,0.246601
2021-05-04,0.230042,0.230042
2021-05-05,0.24136,0.24136
2021-05-06,0.197264,0.197264
2021-05-07,0.196089,0.196089
2021-05-08,0.194215,0.194215
2021-05-09,0.196946,0.196946
2021-05-10,0.182323,0.182323
2021-05-11,0.184616,0.184616
2021-05-12,0.16214,0.16214
2021-05-13,0.162797,0.162797
2021-05-14,0.165437,0.165437
2021-05-15,0.151321,0.151321
2021-05-16,0.152756,0.152756
2021-05-17,0.133134,0.133134
2021-05-18,0.129058,0.129058
2021-05-19,0.112283,0.112283
2021-05-20,0.140948,0.140948
2021-05-21,0.108192,0.108192
2021-05-22,0.113314,0.113314
2021-05-23,0.113718,0.113718
2021-05-24,0.126704,0.126704
2021-05-25,0.125656,0.125656
2021-05-26,0.124202,0.124202
2021-05-27,0.117023,0.117023
2021-05-28,0.108586,0.108586
2021-05-29,0.105275,0.105275
2021-05-30,0.113281,0.113281
2021-05-31,0.118982,0.118982
2021-06-01,0.118025,0.118025
2021-06-02,0.113072,0.113072
2021-06-03,0.118781,0.118781
2021-06-04,0.111546,0.111546
2021-06-05,0.109793,0.109793
2021-06-06,0.110302,0.110302
2021-06-07,0.101559,0.101559
2021-06-08,0.100452,0.100452
2021-06-09,0.113404,0.113404
2021-06-10,0.110522,0.110522
2021-06-11,0.113217,0.113217
2021-06-12,0.105821,0.105821
2021-06-13,0.113883,0.113883
2021-06-14,0.118168,0.118168
2021-06-15,0.121176,0.121176
2021-06-16,0.114854,0.114854
2021-06-17,0.109782,0.109782
2021-06-18,0.102933,0.102933
2021-06-19,0.09675,0.09675
2021-06-20,0.098883,0.098883
2021-06-21,0.087283,0.087283
2021-06-22,0.089562,0.089562
2021-06-23,0.0922,0.0922
2021-06-24,0.090398,0.090398
2021-06-25,0.08408,0.08408
2021-06-26,0.082224,0.082224
2021-06-27,0.089301,0.089301
2021-06-28,0.086804,0.086804
2021-06-29,0.089426,0.089426
2021-06-30,0.08239,0.08239
2021-07-01,0.078988,0.078988
2021-07-02,0.079708,0.079708
2021-07-03,0.074684,0.074684
2021-07-04,0.078735,0.078735
2021-07-05,0.074714,0.074714
2021-07-06,0.073284,0.073284
2021-07-07,0.075848,0.075848
2021-07-08,0.070285,0.070285
2021-07-09,0.075149,0.075149
2021-07-10,0.07441,0.07441
2021-07-11,0.082495,0.082495
2021-07-12,0.082881,0.082881
2021-07-13,0.07977,0.07977
2021-07-14,0.080395,0.080395
2021-07-15,0.07854,0.07854
2021-07-16,0.094795,0.094795
2021-07-17,0.094073,0.094073
2021-07-18,0.094399,0.094399
2021-07-19,0.092006,0.092006
2021-07-20,0.089013,0.089013
2021-07-21,0.09403,0.09403
2021-07-22,0.096667,0.096667
2021-07-23,0.101371,0.101371
2021-07-24,0.101472,0.101472
2021-07-25,0.106339,0.106339
2021-07-26,0.108387,0.108387
2021-07-27,0.115502,0.115502
2021-07-28,0.115903,0.115903
2021-07-29,0.114093,0.114093
2021-07-30,0.120336,0.120336
2021-07-31,0.123897,0.123897
2021-08-01,0.118873,0.118873
2021-08-02,0.116704,0.116704
2021-08-03,0.116198,0.116198
2021-08-04,0.116703,0.116703
2021-08-05,0.127561,0.127561
2021-08-06,0.122184,0.122184
2021-08-07,0.125116,0.125116
2021-08-08,0.127537,0.127537
2021-08-09,0.128072,0.128072
2021-08-10,0.131759,0.131759
2021-08-11,0.131217,0.131217
2021-08-12,0.117067,0.117067
2021-08-13,0.119943,0.119943
2021-08-14,0.119571,0.119571
2021-08-15,0.11824,0.11824
2021-08-16,0.114925,0.114925
2021-08-17,0.109064,0.109064
2021-08-18,0.109007,0.109007
2021-08-19,0.115083,0.115083
2021-08-20,0.120087,0.120087
2021-08-21,0.125415,0.125415
2021-08-22,0.124337,0.124337
2021-08-23,0.127944,0.127944
2021-08-24,0.120966,0.120966
2021-08-25,0.143493,0.143493
2021-08-26,0.135359,0.135359
2021-08-27,0.150245,0.150245
2021-08-28,0.144952,0.144952
2021-08-29,0.132896,0.132896
2021-08-30,0.132026,0.132026
2021-08-31,0.127748,0.127748
2021-09-01,0.134125,0.134125
2021-09-02,0.133391,0.133391
2021-09-03,0.133521,0.133521
2021-09-04,0.141018,0.141018
2021-09-05,0.136323,0.136323
2021-09-06,0.14385,0.14385
2021-09-07,0.132496,0.132496
2021-09-08,0.129217,0.129217
2021-09-09,0.130959,0.130959
2021-09-10,0.130571,0.130571
2021-09-11,0.136619,0.136619
2021-09-12,0.135765,0.135765
2021-09-13,0.129389,0.129389
2021-09-14,0.139995,0.139995
2021-09-15,0.140813,0.140813
2021-09-16,0.149604,0.149604
2021-09-17,0.144428,0.144428
2021-09-18,0.150084,0.150084
2021-09-19,0.146664,0.146664
2021-09-20,0.129698,0.129698
2021-09-21,0.123999,0.123999
2021-09-22,0.12774,0.12774
2021-09-23,0.130014,0.130014
2021-09-24,0.121688,0.121688
2021-09-25,0.121829,0.121829
2021-09-26,0.117744,0.117744
2021-09-27,0.115697,0.115697
2021-09-28,0.110574,0.110574
2021-09-29,0.115389,0.115389
2021-09-30,0.120761,0.120761
2021-10-01,0.125843,0.125843
2021-10-02,0.123542,0.123542
2021-10-03,0.121885,0.121885
2021-10-04,0.117265,0.117265
2021-10-05,0.122032,0.122032
2021-10-06,0.123138,0.123138
2021-10-07,0.118145,0.118145
2021-10-08,0.116961,0.116961
2021-10-09,0.115963,0.115963
2021-10-10,0.109342,0.109342
2021-10-11,0.106387,0.106387
2021-10-12,0.108417,0.108417
2021-10-13,0.103874,0.103874
2021-10-14,0.099891,0.099891
2021-10-15,0.105467,0.105467
2021-10-16,0.103278,0.103278
2021-10-17,0.097349,0.097349
2021-10-18,0.100103,0.100103
2021-10-19,0.096997,0.096997
2021-10-20,0.101565,0.101565
2021-10-21,0.100745,0.100745
2021-10-22,0.099781,0.099781
2021-10-23,0.097707,0.097707
2021-10-24,0.096369,0.096369
2021-10-25,0.103675,0.103675
2021-10-26,0.111446,0.111446
2021-10-27,0.094877,0.094877
2021-10-28,0.104885,0.104885
2021-10-29,0.102456,0.102456
2021-10-30,0.100415,0.100415
2021-10-31,0.101163,0.101163
2021-11-01,0.106084,0.106084
2021-11-02,0.105497,0.105497
2021-11-03,0.110238,0.110238
2021-11-04,0.107113,0.107113
2021-11-05,0.120231,0.120231
2021-11-06,0.121955,0.121955
2021-11-07,0.141773,0.141773
2021-11-08,0.145178,0.145178
2021-11-09,0.153243,0.153243
2021-11-10,0.168202,0.168202
2021-11-11,0.170722,0.170722
2021-11-12,0.167073,0.167073
2021-11-13,0.167064,0.167064
2021-11-14,0.180508,0.180508
2021-11-15,0.162993,0.162993
2021-11-16,0.161209,0.161209
2021-11-17,0.164109,0.164109
2021-11-18,0.148449,0.148449
2021-11-19,0.150761,0.150761
2021-11-20,0.150013,0.150013
2021-11-21,0.144099,0.144099
2021-11-22,0.140376,0.140376
2021-11-23,0.140984,0.140984
2021-11-24,0.138258,0.138258
2021-11-25,0.145365,0.145365
2021-11-26,0.137012,0.137012
2021-11-27,0.138892,0.138892
2021-11-28,0.14501,0.14501
2021-11-29,0.143819,0.143819
2021-11-30,0.14198,0.14198
2021-12-01,0.14372,0.14372
2021-12-02,0.145367,0.145367
2021-12-03,0.135216,0.135216
2021-12-04,0.126746,0.126746
2021-12-05,0.124666,0.124666
2021-12-06,0.130011,0.130011
2021-12-07,0.132412,0.132412
2021-12-08,0.131441,0.131441
2021-12-09,0.122934,0.122934
2021-12-10,0.116543,0.116543
2021-12-11,0.1227,0.1227
2021-12-12,0.12498,0.12498
2021-12-13,0.114646,0.114646
2021-12-14,0.122094,0.122094
2021-12-15,0.12377,0.12377
2021-12-16,0.116659,0.116659
2021-12-17,0.115223,0.115223
2021-12-18,0.117144,0.117144
2021-12-19,0.114408,0.114408
2021-12-20,0.124943,0.124943
2021-12-21,0.123143,0.123143
2021-12-22,0.12912,0.12912
2021-12-23,0.127005,0.127005
2021-12-24,0.124774,0.124774
2021-12-25,0.123719,0.123719
2021-12-26,0.124579,0.124579
2021-12-27,0.129716,0.129716
2021-12-28,0.122558,0.122558
2021-12-29,0.116641,0.116641
2021-12-30,0.117279,0.117279
2021-12-31,0.113121,0.113121
2022-01-01,0.114321,0.114321
2022-01-02,0.113054,0.113054
2022-01-03,0.109236,0.109236
2022-01-04,0.110288,0.110288
2022-01-05,0.104968,0.104968
2022-01-06,0.104755,0.104755
2022-01-07,0.10125,0.10125
2022-01-08,0.09906,0.09906
2022-01-09,0.101034,0.101034
2022-01-10,0.099697,0.099697
2022-01-11,0.103365,0.103365
2022-01-12,0.107622,0.107622
2022-01-13,0.10405,0.10405
2022-01-14,0.105665,0.105665
2022-01-15,0.104617,0.104617
2022-01-16,0.104936,0.104936
2022-01-17,0.102172,0.102172
2022-01-18,0.105083,0.105083
2022-01-19,0.100434,0.100434
2022-01-20,0.097451,0.097451
2022-01-21,0.087077,0.087077
2022-01-22,0.077885,0.077885
2022-01-23,0.08091,0.08091
2022-01-24,0.08087,0.08087
2022-01-25,0.080629,0.080629
2022-01-26,0.078965,0.078965
2022-01-27,0.081449,0.081449
2022-01-28,0.083021,0.083021
2022-01-29,0.084715,0.084715
2022-01-30,0.083146,0.083146
2022-01-31,0.081419,0.081419
2022-02-01,0.084601,0.084601
2022-02-02,0.082081,0.082081
2022-02-03,0.088527,0.088527
2022-02-04,0.084359,0.084359
